filename id formula
517-Ir4O8 517 Ir4O8
518-Ir192O384 518 Ir192O384
519-Ir2O4 519 Ir2O4
520-Ir8O16 520 Ir8O16
521-Ir16O32 521 Ir16O32
522-Ir3O6 522 Ir3O6
523-Ir112O224 523 Ir112O224
524-Ir8O16 524 Ir8O16
525-Ir34O68 525 Ir34O68
526-Ir9O18 526 Ir9O18
527-Ir4O8 527 Ir4O8
528-Ir48O96 528 Ir48O96
529-Ir2O4 529 Ir2O4
530-Ir8O16 530 Ir8O16
531-Ir6O12 531 Ir6O12
532-Ir32O64 532 Ir32O64
533-Ir8O16 533 Ir8O16
534-Ir3O6 534 Ir3O6
535-Ir4O8 535 Ir4O8
536-Ir56O112 536 Ir56O112
537-Ir8O16 537 Ir8O16
538-Ir64O128 538 Ir64O128
539-Ir6O12 539 Ir6O12
540-Ir24O48 540 Ir24O48
541-Ir6O12 541 Ir6O12
542-Ir2O4 542 Ir2O4
543-Ir4O8 543 Ir4O8
544-Ir4O8 544 Ir4O8
545-Ir8O16 545 Ir8O16
546-Ir4O8 546 Ir4O8
547-Ir4O8 547 Ir4O8
548-Ir6O12 548 Ir6O12
549-Ir18O36 549 Ir18O36
550-Ir4O8 550 Ir4O8
551-Ir4O8 551 Ir4O8
552-Ir24O48 552 Ir24O48
553-Ir12O24 553 Ir12O24
554-Ir8O16 554 Ir8O16
555-Ir64O128 555 Ir64O128
556-Ir2O4 556 Ir2O4
557-IrO2 557 IrO2
558-Ir2O4 558 Ir2O4
559-Ir32O64 559 Ir32O64
560-Ir3O6 560 Ir3O6
561-Ir6O12 561 Ir6O12
562-Ir8O16 562 Ir8O16
563-Ir8O16 563 Ir8O16
564-Ir4O8 564 Ir4O8
565-Ir5O10 565 Ir5O10
566-Ir12O24 566 Ir12O24
567-Ir4O8 567 Ir4O8
568-Ir12O24 568 Ir12O24
569-Ir16O32 569 Ir16O32
570-Ir5O10 570 Ir5O10
571-Ir16O32 571 Ir16O32
572-Ir16O32 572 Ir16O32
573-Ir4O8 573 Ir4O8
574-Ir18O36 574 Ir18O36
575-Ir18O36 575 Ir18O36
576-Ir24O48 576 Ir24O48
577-Ir8O16 577 Ir8O16
578-Ir4O8 578 Ir4O8
579-Ir2O4 579 Ir2O4
580-Ir2O4 580 Ir2O4
581-Ir4O8 581 Ir4O8
582-Ir2O4 582 Ir2O4
583-Ir24O48 583 Ir24O48
584-Ir21O42 584 Ir21O42
585-Ir2O4 585 Ir2O4
586-Ir16O32 586 Ir16O32
587-Ir24O48 587 Ir24O48
588-Ir8O16 588 Ir8O16
589-Ir18O36 589 Ir18O36
590-Ir4O8 590 Ir4O8
591-Ir48O96 591 Ir48O96
592-Ir8O16 592 Ir8O16
593-Ir12O24 593 Ir12O24
594-Ir11O22 594 Ir11O22
595-Ir9O18 595 Ir9O18
596-Ir48O96 596 Ir48O96
597-Ir24O48 597 Ir24O48
598-Ir24O48 598 Ir24O48
599-Ir12O24 599 Ir12O24
600-Ir8O16 600 Ir8O16
601-Ir2O4 601 Ir2O4
602-Ir4O8 602 Ir4O8
603-Ir8O16 603 Ir8O16
604-Ir48O96 604 Ir48O96
605-Ir4O8 605 Ir4O8
606-Ir14O28 606 Ir14O28
607-Ir4O8 607 Ir4O8
608-Ir4O8 608 Ir4O8
609-Ir17O34 609 Ir17O34
610-Ir24O48 610 Ir24O48
611-Ir8O16 611 Ir8O16
612-Ir12O24 612 Ir12O24
613-Ir2O4 613 Ir2O4
614-Ir15O30 614 Ir15O30
615-Ir4O8 615 Ir4O8
616-Ir32O64 616 Ir32O64
617-Ir96O192 617 Ir96O192
618-Ir24O48 618 Ir24O48
619-Ir6O12 619 Ir6O12
620-Ir10O20 620 Ir10O20
621-Ir32O64 621 Ir32O64
622-Ir16O32 622 Ir16O32
623-Ir8O16 623 Ir8O16
624-Ir12O24 624 Ir12O24
625-Ir16O32 625 Ir16O32
626-Ir8O16 626 Ir8O16
627-Ir3O6 627 Ir3O6
628-Ir24O48 628 Ir24O48
629-Ir4O8 629 Ir4O8
630-Ir27O54 630 Ir27O54
631-Ir3O6 631 Ir3O6
632-Ir8O16 632 Ir8O16
633-Ir12O24 633 Ir12O24
634-Ir8O16 634 Ir8O16
635-Ir7O14 635 Ir7O14
636-Ir48O96 636 Ir48O96
637-Ir16O32 637 Ir16O32
638-Ir4O8 638 Ir4O8
639-Ir8O16 639 Ir8O16
640-Ir10O20 640 Ir10O20
641-Ir2O4 641 Ir2O4
642-Ir8O16 642 Ir8O16
643-Ir8O16 643 Ir8O16
644-Ir18O36 644 Ir18O36
645-Ir10O20 645 Ir10O20
646-Ir3O6 646 Ir3O6
647-Ir5O10 647 Ir5O10
648-Ir24O48 648 Ir24O48
649-Ir2O4 649 Ir2O4
650-Ir16O32 650 Ir16O32
651-Ir2O4 651 Ir2O4
652-Ir14O28 652 Ir14O28
653-Ir4O8 653 Ir4O8
654-Ir8O16 654 Ir8O16
655-Ir8O16 655 Ir8O16
656-Ir36O72 656 Ir36O72
657-Ir8O16 657 Ir8O16
658-Ir4O8 658 Ir4O8
659-Ir12O24 659 Ir12O24
660-Ir4O8 660 Ir4O8
661-Ir8O16 661 Ir8O16
662-Ir3O6 662 Ir3O6
663-Ir24O48 663 Ir24O48
664-Ir4O8 664 Ir4O8
665-Ir30O60 665 Ir30O60
666-Ir4O8 666 Ir4O8
667-Ir6O12 667 Ir6O12
668-Ir12O24 668 Ir12O24
669-Ir32O64 669 Ir32O64
670-Ir29O58 670 Ir29O58
671-Ir72O144 671 Ir72O144
672-Ir32O64 672 Ir32O64
673-Ir25O50 673 Ir25O50
674-Ir40O80 674 Ir40O80
675-Ir36O72 675 Ir36O72
676-Ir56O112 676 Ir56O112
677-Ir4O8 677 Ir4O8
678-Ir8O16 678 Ir8O16
679-Ir16O32 679 Ir16O32
680-Ir14O28 680 Ir14O28
681-Ir8O16 681 Ir8O16
682-Ir16O32 682 Ir16O32
683-Ir22O44 683 Ir22O44
684-Ir6O12 684 Ir6O12
685-Ir4O8 685 Ir4O8
686-Ir12O24 686 Ir12O24
687-Ir4O8 687 Ir4O8
688-Ir2O4 688 Ir2O4
689-Ir12O24 689 Ir12O24
690-Ir2O4 690 Ir2O4
691-Ir4O8 691 Ir4O8
692-Ir8O16 692 Ir8O16
693-Ir8O16 693 Ir8O16
694-Ir36O72 694 Ir36O72
695-Ir4O8 695 Ir4O8
696-Ir2O4 696 Ir2O4
697-Ir2O4 697 Ir2O4
698-IrO3 698 IrO3
699-IrO3 699 IrO3
700-Ir7O21 700 Ir7O21
701-Ir8O24 701 Ir8O24
702-Ir3O9 702 Ir3O9
703-Ir4O12 703 Ir4O12
704-Ir2O6 704 Ir2O6
705-Ir8O24 705 Ir8O24
706-Ir4O12 706 Ir4O12
707-Ir2O6 707 Ir2O6
708-Ir8O24 708 Ir8O24
709-Ir2O6 709 Ir2O6
710-Ir2O6 710 Ir2O6
711-Ir4O12 711 Ir4O12
712-Ir2O6 712 Ir2O6
713-Ir4O12 713 Ir4O12
714-Ir2O6 714 Ir2O6
715-Ir2O6 715 Ir2O6
716-Ir4O12 716 Ir4O12
717-Ir4O12 717 Ir4O12
718-Ir4O12 718 Ir4O12
719-Ir8O24 719 Ir8O24
720-Ir8O24 720 Ir8O24
721-Ir16O48 721 Ir16O48
722-Ir3O9 722 Ir3O9
723-IrO3 723 IrO3
724-Ir6O18 724 Ir6O18
725-IrO3 725 IrO3
726-IrO3 726 IrO3
727-Ir4O12 727 Ir4O12
728-Ir4O12 728 Ir4O12
729-Ir2O6 729 Ir2O6
730-Ir10O30 730 Ir10O30
731-Ir4O12 731 Ir4O12
732-Ir4O12 732 Ir4O12
733-Ir2O6 733 Ir2O6
734-Ir6O18 734 Ir6O18
735-Ir6O18 735 Ir6O18
736-Ir4O12 736 Ir4O12
737-Ir4O12 737 Ir4O12
738-Ir4O12 738 Ir4O12
739-Ir2O6 739 Ir2O6
740-Ir2O6 740 Ir2O6
741-Ir8O24 741 Ir8O24
742-Ir8O24 742 Ir8O24
743-Ir6O18 743 Ir6O18
744-Ir4O12 744 Ir4O12
745-Ir8O24 745 Ir8O24
746-Ir8O24 746 Ir8O24
747-Ir15O45 747 Ir15O45
748-Ir4O12 748 Ir4O12
